06:29:20.091928 write(1, "\n", 1)       = 1 <1.156546>
06:29:21.250523 write(1, "I am New Thread!\n", 17) = 17 <0.000163>
06:29:21.252023 write(1, "I am New Thread!\n", 17) = 17 <0.000222>
06:29:21.255412 write(1, "I am New Thread!\n", 17) = 17 <0.000181>
06:29:21.256785 write(1, "I am New Thread!\n", 17) = 17 <0.000098>
06:29:21.258093 write(1, "I am New Thread!\n", 17) = 17 <0.000181>
06:29:21.259376 write(1, "I am New Thread!\n", 17) = 17 <0.000265>
06:29:21.260556 write(1, "I am New Thread!\n", 17) = 17 <0.000247>
06:29:21.262548 write(1, "I am New Thread!\n", 17) = 17 <0.000148>
06:29:21.264352 write(1, "I am New Thread!\n", 17) = 17 <0.000221>
06:29:21.265644 write(1, "I am New Thread!\n", 17) = 17 <0.000189>
06:29:21.266886 write(1, "I am New Thread!\n", 17) = 17 <0.000211>
06:29:21.268456 write(1, "I am New Thread!\n", 17) = 17 <0.000303>
06:29:21.269810 write(1, "I am New Thread!\n", 17) = 17 <0.000355>
06:29:21.271244 write(1, "I am New Thread!\n", 17) = 17 <0.000182>
06:29:21.272475 write(1, "I am New Thread!\n", 17) = 17 <0.000205>
06:29:21.273930 write(1, "I am New Thread!\n", 17) = 17 <0.000260>
06:29:21.275308 write(1, "I am New Thread!\n", 17) = 17 <0.000232>
06:29:21.276378 write(1, "I am New Thread!\n", 17) = 17 <0.000210>
06:29:21.277421 write(1, "I am New Thread!\n", 17) = 17 <0.000176>
06:29:21.278522 write(1, "I am New Thread!\n", 17) = 17 <0.000305>
06:29:21.279621 write(1, "I am New Thread!\n", 17) = 17 <0.000266>
06:29:21.281493 write(1, "I am New Thread!\n", 17) = 17 <0.000272>
06:29:21.282861 write(1, "I am New Thread!\n", 17) = 17 <0.000199>
06:29:21.284244 write(1, "I am New Thread!\n", 17) = 17 <0.000389>
06:29:21.286097 write(1, "I am New Thread!\n", 17) = 17 <0.000252>
06:29:21.287547 write(1, "I am New Thread!\n", 17) = 17 <0.000211>
06:29:21.288739 write(1, "I am New Thread!\n", 17) = 17 <0.000216>
06:29:21.290053 write(1, "I am New Thread!\n", 17) = 17 <0.000211>
06:29:21.291286 write(1, "I am New Thread!\n", 17) = 17 <0.000163>
06:29:21.292321 write(1, "I am New Thread!\n", 17) = 17 <0.000160>
06:29:21.293313 write(1, "I am New Thread!\n", 17) = 17 <0.000162>
06:29:21.294175 write(1, "I am New Thread!\n", 17) = 17 <0.000180>
06:29:21.295479 write(1, "I am New Thread!\n", 17) = 17 <0.000181>
06:29:21.296656 write(1, "I am New Thread!\n", 17) = 17 <0.000227>
06:29:21.297666 write(1, "I am New Thread!\n", 17) = 17 <0.000163>
06:29:21.298898 write(1, "I am New Thread!\n", 17) = 17 <0.000261>
06:29:21.300442 write(1, "I am New Thread!\n", 17) = 17 <0.000255>
06:29:21.302013 write(1, "I am New Thread!\n", 17) = 17 <0.000169>
06:29:21.303849 write(1, "I am New Thread!\n", 17) = 17 <0.000166>
06:29:21.304956 write(1, "I am New Thread!\n", 17) = 17 <0.000225>
06:29:21.306315 write(1, "I am New Thread!\n", 17) = 17 <0.000168>
06:29:21.307498 write(1, "I am New Thread!\n", 17) = 17 <0.000220>
06:29:21.308617 write(1, "I am New Thread!\n", 17) = 17 <0.000262>
06:29:21.310057 write(1, "I am New Thread!\n", 17) = 17 <0.000136>
